link_row,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,highway_code,vol_base_case,capacity_base_case,freespeed_ms,length_m,degree,times_intervened,mean_abs_response,std_response
27900,2.28997,48.86681,2.29074,48.86652,2.29035,48.86666,4,35.5,480.0,8.33,65.3,6,0,3.486,3.674
27901,2.29074,48.86652,2.28997,48.86681,2.29035,48.86666,4,14.0,480.0,8.33,65.3,3,0,2.112,2.361
27902,2.29074,48.86652,2.29113,48.86635,2.29093,48.86644,4,36.0,480.0,8.33,34.5,3,0,3.68,3.677
27903,2.29113,48.86635,2.29074,48.86652,2.29093,48.86644,4,14.4,480.0,8.33,34.5,6,0,2.335,2.375
27904,2.29113,48.86635,2.29267,48.86567,2.2919,48.86601,4,36.6,480.0,8.33,136.2,6,0,4.067,3.681
27905,2.29267,48.86567,2.29113,48.86635,2.2919,48.86601,4,12.5,480.0,8.33,136.2,4,0,2.309,2.351
27906,2.29267,48.86567,2.29363,48.86483,2.29315,48.86525,4,41.6,480.0,8.33,116.8,3,0,3.83,3.293
27907,2.32938,48.82885,2.32933,48.82876,2.32936,48.8288,4,16.5,480.0,8.33,10.9,2,0,3.971,4.69
27908,2.29363,48.86483,2.29267,48.86567,2.29315,48.86525,4,10.9,480.0,8.33,116.8,4,0,1.753,2.14
27909,2.32933,48.82876,2.32968,48.82845,2.3295,48.82861,4,16.5,480.0,8.33,43.7,4,0,3.971,4.69
27910,2.32968,48.82845,2.33019,48.82839,2.32993,48.82842,4,16.5,480.0,8.33,39.0,4,0,3.995,4.725
27911,2.33019,48.82839,2.33124,48.8284,2.33071,48.8284,4,0.5,480.0,8.33,76.7,5,0,0.7,0.709
27912,2.33124,48.8284,2.33219,48.82896,2.33171,48.82868,4,3.2,480.0,8.33,101.9,5,0,0.753,0.911
27913,2.29035,48.86592,2.29074,48.86652,2.29054,48.86622,4,0.4,480.0,8.33,72.8,3,0,0.431,0.117
27914,2.29074,48.86652,2.29035,48.86592,2.29054,48.86622,4,0.4,480.0,8.33,72.8,4,0,0.431,0.117
27915,2.34188,48.85776,2.34152,48.85732,2.3417,48.85754,3,103.2,480.0,8.33,55.8,6,339,13.062,13.673
27916,2.34152,48.85732,2.34188,48.85776,2.3417,48.85754,3,7.7,480.0,8.33,55.8,4,339,0.823,0.838
27917,2.29031,48.86498,2.29113,48.86635,2.29072,48.86567,4,2.5,480.0,8.33,164.6,3,0,0.708,0.393
27918,2.26348,48.85754,2.26354,48.85767,2.26351,48.8576,4,11.5,480.0,8.33,15.2,5,0,3.825,3.151
