"epoch","olive-shadow-2 - lr","olive-shadow-2 - lr__MIN","olive-shadow-2 - lr__MAX","olive-shadow-2 - _step","olive-shadow-2 - _step__MIN","olive-shadow-2 - _step__MAX"
"0","0.0000132","0.0000132","0.0000132","100","100","100"
"1","0.000026533333333333332","0.000026533333333333332","0.000026533333333333332","201","201","201"
"2","0.00003986666666666667","0.00003986666666666667","0.00003986666666666667","302","302","302"
"3","0.0000532","0.0000532","0.0000532","403","403","403"
"4","0.00006653333333333333","0.00006653333333333333","0.00006653333333333333","504","504","504"
"5","0.00007986666666666667","0.00007986666666666667","0.00007986666666666667","605","605","605"
"6","0.0000932","0.0000932","0.0000932","706","706","706"
"7","0.00010653333333333333","0.00010653333333333333","0.00010653333333333333","807","807","807"
"8","0.00011986666666666666","0.00011986666666666666","0.00011986666666666666","908","908","908"
"9","0.0001332","0.0001332","0.0001332","1009","1009","1009"
"10","0.00014653333333333334","0.00014653333333333334","0.00014653333333333334","1110","1110","1110"
"11","0.00015986666666666666","0.00015986666666666666","0.00015986666666666666","1211","1211","1211"
"12","0.0001732","0.0001732","0.0001732","1312","1312","1312"
"13","0.00018653333333333333","0.00018653333333333333","0.00018653333333333333","1413","1413","1413"
"14","0.00019986666666666668","0.00019986666666666668","0.00019986666666666668","1514","1514","1514"
"15","0.0002132","0.0002132","0.0002132","1615","1615","1615"
"16","0.00022653333333333333","0.00022653333333333333","0.00022653333333333333","1716","1716","1716"
"17","0.00023986666666666668","0.00023986666666666668","0.00023986666666666668","1817","1817","1817"
"18","0.0002532","0.0002532","0.0002532","1918","1918","1918"
"19","0.0002665333333333333","0.0002665333333333333","0.0002665333333333333","2019","2019","2019"
"20","0.0002798666666666667","0.0002798666666666667","0.0002798666666666667","2120","2120","2120"
"21","0.0002932","0.0002932","0.0002932","2221","2221","2221"
"22","0.0003065333333333333","0.0003065333333333333","0.0003065333333333333","2322","2322","2322"
"23","0.00031986666666666667","0.00031986666666666667","0.00031986666666666667","2423","2423","2423"
"24","0.0003332","0.0003332","0.0003332","2524","2524","2524"
"25","0.00034653333333333337","0.00034653333333333337","0.00034653333333333337","2625","2625","2625"
"26","0.00035986666666666667","0.00035986666666666667","0.00035986666666666667","2726","2726","2726"
"27","0.00037319999999999996","0.00037319999999999996","0.00037319999999999996","2827","2827","2827"
"28","0.00038653333333333337","0.00038653333333333337","0.00038653333333333337","2928","2928","2928"
"29","0.00039986666666666666","0.00039986666666666666","0.00039986666666666666","3029","3029","3029"
"30","0.0004132","0.0004132","0.0004132","3130","3130","3130"
"31","0.0004265333333333333","0.0004265333333333333","0.0004265333333333333","3231","3231","3231"
"32","0.0004398666666666667","0.0004398666666666667","0.0004398666666666667","3332","3332","3332"
"33","0.0004532","0.0004532","0.0004532","3433","3433","3433"
"34","0.00046653333333333336","0.00046653333333333336","0.00046653333333333336","3534","3534","3534"
