"epoch","olive-shadow-2 - val_loss","olive-shadow-2 - val_loss__MIN","olive-shadow-2 - val_loss__MAX","olive-shadow-2 - _step","olive-shadow-2 - _step__MIN","olive-shadow-2 - _step__MAX"
"84","65.07190864964535","65.07190864964535","65.07190864964535","8584","8584","8584"
"85","64.49754433882863","64.49754433882863","64.49754433882863","8685","8685","8685"
"86","65.37430733128598","65.37430733128598","65.37430733128598","8786","8786","8786"
"87","64.08380387958728","64.08380387958728","64.08380387958728","8887","8887","8887"
"88","63.53033688193873","63.53033688193873","63.53033688193873","8988","8988","8988"
"89","64.20309528551604","64.20309528551604","64.20309528551604","9089","9089","9089"
"90","63.99404124209755","63.99404124209755","63.99404124209755","9190","9190","9190"
"91","63.80123519897461","63.80123519897461","63.80123519897461","9291","9291","9291"
"92","63.64709151418585","63.64709151418585","63.64709151418585","9392","9392","9392"
"93","63.800674840023646","63.800674840023646","63.800674840023646","9493","9493","9493"
"94","63.69238682797081","63.69238682797081","63.69238682797081","9594","9594","9594"
"95","63.815168280350534","63.815168280350534","63.815168280350534","9695","9695","9695"
"96","62.8362075404117","62.8362075404117","62.8362075404117","9796","9796","9796"
"97","63.702558417069284","63.702558417069284","63.702558417069284","9897","9897","9897"
"98","62.58436825400904","62.58436825400904","62.58436825400904","9998","9998","9998"
"99","63.15989203202097","63.15989203202097","63.15989203202097","10099","10099","10099"
"100","64.07943042955901","64.07943042955901","64.07943042955901","10200","10200","10200"
"101","62.81128612317537","62.81128612317537","62.81128612317537","10301","10301","10301"
"102","63.70962122866982","63.70962122866982","63.70962122866982","10402","10402","10402"
"103","63.09464725695158","63.09464725695158","63.09464725695158","10503","10503","10503"
"104","62.96251256842362","62.96251256842362","62.96251256842362","10604","10604","10604"
"105","62.785571449681335","62.785571449681335","62.785571449681335","10705","10705","10705"
"106","62.867245724326686","62.867245724326686","62.867245724326686","10806","10806","10806"
"107","62.103062077572474","62.103062077572474","62.103062077572474","10907","10907","10907"
"108","62.61030377839741","62.61030377839741","62.61030377839741","11008","11008","11008"
"109","62.542415618896484","62.542415618896484","62.542415618896484","11109","11109","11109"
"110","61.825313568115234","61.825313568115234","61.825313568115234","11210","11210","11210"
"111","61.67797209087171","61.67797209087171","61.67797209087171","11311","11311","11311"
"112","62.67574450844213","62.67574450844213","62.67574450844213","11412","11412","11412"
"113","61.497344970703125","61.497344970703125","61.497344970703125","11513","11513","11513"
"114","61.007501100239004","61.007501100239004","61.007501100239004","11614","11614","11614"
"115","63.48360342728464","63.48360342728464","63.48360342728464","11715","11715","11715"
"116","61.66649487144068","61.66649487144068","61.66649487144068","11816","11816","11816"
"117","63.35324739155016","63.35324739155016","63.35324739155016","11917","11917","11917"
"118","62.30745395861174","62.30745395861174","62.30745395861174","12018","12018","12018"
"119","61.50206355044716","61.50206355044716","61.50206355044716","12119","12119","12119"
"120","61.62264071012798","61.62264071012798","61.62264071012798","12220","12220","12220"
"121","60.57209115279348","60.57209115279348","60.57209115279348","12321","12321","12321"
"122","61.390370419150905","61.390370419150905","61.390370419150905","12422","12422","12422"
"123","60.917067879124694","60.917067879124694","60.917067879124694","12523","12523","12523"
"124","60.504710147255345","60.504710147255345","60.504710147255345","12624","12624","12624"
"125","60.399050863165606","60.399050863165606","60.399050863165606","12725","12725","12725"
"126","60.72125244140625","60.72125244140625","60.72125244140625","12826","12826","12826"
"127","61.423525760048314","61.423525760048314","61.423525760048314","12927","12927","12927"
"128","60.131730129844264","60.131730129844264","60.131730129844264","13028","13028","13028"
"129","61.05669905010023","61.05669905010023","61.05669905010023","13129","13129","13129"
"130","60.8654929713199","60.8654929713199","60.8654929713199","13230","13230","13230"
"131","63.48479481747276","63.48479481747276","63.48479481747276","13331","13331","13331"
"132","61.155033914666426","61.155033914666426","61.155033914666426","13432","13432","13432"
"133","61.56258191560444","61.56258191560444","61.56258191560444","13533","13533","13533"
"134","60.98764660483912","60.98764660483912","60.98764660483912","13634","13634","13634"
"135","60.53614546123304","60.53614546123304","60.53614546123304","13735","13735","13735"
"136","60.70077795731394","60.70077795731394","60.70077795731394","13836","13836","13836"
"137","64.3801952161287","64.3801952161287","64.3801952161287","13937","13937","13937"
"138","61.46838037591232","61.46838037591232","61.46838037591232","14038","14038","14038"
"139","63.73546138562654","63.73546138562654","63.73546138562654","14139","14139","14139"
"140","63.56686582063374","63.56686582063374","63.56686582063374","14240","14240","14240"
"141","61.65501905742445","61.65501905742445","61.65501905742445","14341","14341","14341"
"142","61.421804327713815","61.421804327713815","61.421804327713815","14442","14442","14442"
"143","66.2802629972759","66.2802629972759","66.2802629972759","14543","14543","14543"
"144","61.92657450625771","61.92657450625771","61.92657450625771","14644","14644","14644"
"145","63.719319795307364","63.719319795307364","63.719319795307364","14745","14745","14745"
"146","60.1329624778346","60.1329624778346","60.1329624778346","14846","14846","14846"
"147","61.91074752807617","61.91074752807617","61.91074752807617","14947","14947","14947"
"148","62.26105900814659","62.26105900814659","62.26105900814659","15048","15048","15048"
"149","62.15662404110557","62.15662404110557","62.15662404110557","15149","15149","15149"
"150","59.66261271426552","59.66261271426552","59.66261271426552","15250","15250","15250"
"151","61.280670166015625","61.280670166015625","61.280670166015625","15351","15351","15351"
"152","60.862652828818874","60.862652828818874","60.862652828818874","15452","15452","15452"
"153","58.635095295153164","58.635095295153164","58.635095295153164","15553","15553","15553"
"154","61.22398235923365","61.22398235923365","61.22398235923365","15654","15654","15654"
"155","60.74028697766756","60.74028697766756","60.74028697766756","15755","15755","15755"
"156","58.42670340287058","58.42670340287058","58.42670340287058","15856","15856","15856"
"157","60.22581823248612","60.22581823248612","60.22581823248612","15957","15957","15957"
"158","60.17236167506168","60.17236167506168","60.17236167506168","16058","16058","16058"
"159","58.95051454242907","58.95051454242907","58.95051454242907","16159","16159","16159"
"160","59.284325449090254","59.284325449090254","59.284325449090254","16260","16260","16260"
"161","59.88164540341026","59.88164540341026","59.88164540341026","16361","16361","16361"
"162","59.538103806345084","59.538103806345084","59.538103806345084","16462","16462","16462"
"163","59.00045595671001","59.00045595671001","59.00045595671001","16563","16563","16563"
"164","58.9706772252133","58.9706772252133","58.9706772252133","16664","16664","16664"
"165","58.630316282573496","58.630316282573496","58.630316282573496","16765","16765","16765"
"166","58.66472083643863","58.66472083643863","58.66472083643863","16866","16866","16866"
"167","59.16281529476768","59.16281529476768","59.16281529476768","16967","16967","16967"
"168","58.56327819824219","58.56327819824219","58.56327819824219","17068","17068","17068"
"169","60.04205964740954","60.04205964740954","60.04205964740954","17169","17169","17169"
"170","58.174261595073496","58.174261595073496","58.174261595073496","17270","17270","17270"
"171","58.2322554337351","58.2322554337351","58.2322554337351","17371","17371","17371"
"172","58.60897104363693","58.60897104363693","58.60897104363693","17472","17472","17472"
"173","59.007299523604544","59.007299523604544","59.007299523604544","17573","17573","17573"
"174","60.74693137721012","60.74693137721012","60.74693137721012","17674","17674","17674"
"175","57.581467277125306","57.581467277125306","57.581467277125306","17775","17775","17775"
"176","58.436657955772","58.436657955772","58.436657955772","17876","17876","17876"
"177","58.34868682058234","58.34868682058234","58.34868682058234","17977","17977","17977"
"178","57.59024951332494","57.59024951332494","57.59024951332494","18078","18078","18078"
"179","57.97233942935341","57.97233942935341","57.97233942935341","18179","18179","18179"
"180","57.87672183388158","57.87672183388158","57.87672183388158","18280","18280","18280"
"181","57.91257436651932","57.91257436651932","57.91257436651932","18381","18381","18381"
"182","57.328377171566615","57.328377171566615","57.328377171566615","18482","18482","18482"
"183","57.585322530646074","57.585322530646074","57.585322530646074","18583","18583","18583"
"184","57.630612423545436","57.630612423545436","57.630612423545436","18684","18684","18684"
"185","57.36190996671978","57.36190996671978","57.36190996671978","18785","18785","18785"
"186","58.24849660773026","58.24849660773026","58.24849660773026","18886","18886","18886"
"187","57.71999057970549","57.71999057970549","57.71999057970549","18987","18987","18987"
"188","58.85131494622482","58.85131494622482","58.85131494622482","19088","19088","19088"
"189","58.13956792731034","58.13956792731034","58.13956792731034","19189","19189","19189"
"190","57.86925366050318","57.86925366050318","57.86925366050318","19290","19290","19290"
"191","58.092684294048105","58.092684294048105","58.092684294048105","19391","19391","19391"
"192","56.58493142378958","56.58493142378958","56.58493142378958","19492","19492","19492"
"193","56.97897198325709","56.97897198325709","56.97897198325709","19593","19593","19593"
"194","56.803101790578744","56.803101790578744","56.803101790578744","19694","19694","19694"
"195","57.06325571160568","57.06325571160568","57.06325571160568","19795","19795","19795"
"196","57.203510886744446","57.203510886744446","57.203510886744446","19896","19896","19896"
"197","57.12109314767938","57.12109314767938","57.12109314767938","19997","19997","19997"
"198","57.93465644434879","57.93465644434879","57.93465644434879","20098","20098","20098"
"199","56.74097101311935","56.74097101311935","56.74097101311935","20199","20199","20199"
"200","56.645675458406146","56.645675458406146","56.645675458406146","20300","20300","20300"
"201","57.294754229093854","57.294754229093854","57.294754229093854","20401","20401","20401"
"202","56.81779500057823","56.81779500057823","56.81779500057823","20502","20502","20502"
"203","56.45153748361688","56.45153748361688","56.45153748361688","20603","20603","20603"
"204","56.8224818581029","56.8224818581029","56.8224818581029","20704","20704","20704"
"205","56.845046394749694","56.845046394749694","56.845046394749694","20805","20805","20805"
"206","56.27584457397461","56.27584457397461","56.27584457397461","20906","20906","20906"
"207","57.00663897865697","57.00663897865697","57.00663897865697","21007","21007","21007"
"208","55.821588817395664","55.821588817395664","55.821588817395664","21108","21108","21108"
"209","56.494415283203125","56.494415283203125","56.494415283203125","21209","21209","21209"
"210","56.342457821494655","56.342457821494655","56.342457821494655","21310","21310","21310"
"211","56.54696474577251","56.54696474577251","56.54696474577251","21411","21411","21411"
"212","56.28481754503752","56.28481754503752","56.28481754503752","21512","21512","21512"
"213","56.0308837890625","56.0308837890625","56.0308837890625","21613","21613","21613"
"214","56.07833320216129","56.07833320216129","56.07833320216129","21714","21714","21714"
"215","56.23324605038292","56.23324605038292","56.23324605038292","21815","21815","21815"
"216","56.75094504105417","56.75094504105417","56.75094504105417","21916","21916","21916"
"217","56.59374216983193","56.59374216983193","56.59374216983193","22017","22017","22017"
"218","57.28604386982165","57.28604386982165","57.28604386982165","22118","22118","22118"
"219","56.64176117746454","56.64176117746454","56.64176117746454","22219","22219","22219"
"220","55.92496028699373","55.92496028699373","55.92496028699373","22320","22320","22320"
"221","56.10687918412058","56.10687918412058","56.10687918412058","22421","22421","22421"
"222","56.320297843531556","56.320297843531556","56.320297843531556","22522","22522","22522"
"223","55.716961308529505","55.716961308529505","55.716961308529505","22623","22623","22623"
"224","56.56124857852333","56.56124857852333","56.56124857852333","22724","22724","22724"
"225","56.15864643297697","56.15864643297697","56.15864643297697","22825","22825","22825"
"226","55.701562580309414","55.701562580309414","55.701562580309414","22926","22926","22926"
"227","56.736182965730364","56.736182965730364","56.736182965730364","23027","23027","23027"
"228","56.20090705470035","56.20090705470035","56.20090705470035","23128","23128","23128"
"229","55.76205665186832","55.76205665186832","55.76205665186832","23229","23229","23229"
"230","55.775929501182155","55.775929501182155","55.775929501182155","23330","23330","23330"
"231","55.41497220491108","55.41497220491108","55.41497220491108","23431","23431","23431"
"232","55.832264147306745","55.832264147306745","55.832264147306745","23532","23532","23532"
"233","56.15054020128752","56.15054020128752","56.15054020128752","23633","23633","23633"
"234","55.48753698248612","55.48753698248612","55.48753698248612","23734","23734","23734"
"235","55.7167256003932","55.7167256003932","55.7167256003932","23835","23835","23835"
"236","55.34334122507196","55.34334122507196","55.34334122507196","23936","23936","23936"
"237","56.21562777067486","56.21562777067486","56.21562777067486","24037","24037","24037"
"238","55.70828206915604","55.70828206915604","55.70828206915604","24138","24138","24138"
"239","55.83645248413086","55.83645248413086","55.83645248413086","24239","24239","24239"
"240","57.00809358295641","57.00809358295641","57.00809358295641","24340","24340","24340"
"241","56.126330727025085","56.126330727025085","56.126330727025085","24441","24441","24441"
"242","56.23793431332237","56.23793431332237","56.23793431332237","24542","24542","24542"
"243","55.740093632748255","55.740093632748255","55.740093632748255","24643","24643","24643"
"244","56.28406544735557","56.28406544735557","56.28406544735557","24744","24744","24744"
"245","55.89118756745991","55.89118756745991","55.89118756745991","24845","24845","24845"
"246","55.68712696276213","55.68712696276213","55.68712696276213","24946","24946","24946"
"247","55.55318752088045","55.55318752088045","55.55318752088045","25047","25047","25047"
"248","55.29561434294048","55.29561434294048","55.29561434294048","25148","25148","25148"
"249","56.08801028603002","56.08801028603002","56.08801028603002","25249","25249","25249"
"250","56.00456860190943","56.00456860190943","56.00456860190943","25350","25350","25350"
"251","55.26133306402909","55.26133306402909","55.26133306402909","25451","25451","25451"
"252","54.90581191213507","54.90581191213507","54.90581191213507","25552","25552","25552"
"253","55.68316007915296","55.68316007915296","55.68316007915296","25653","25653","25653"
"254","55.27511737221166","55.27511737221166","55.27511737221166","25754","25754","25754"
"255","55.165591992829974","55.165591992829974","55.165591992829974","25855","25855","25855"
"256","55.000399137798105","55.000399137798105","55.000399137798105","25956","25956","25956"
"257","55.46773589284796","55.46773589284796","55.46773589284796","26057","26057","26057"
"258","54.81471975226151","54.81471975226151","54.81471975226151","26158","26158","26158"
"259","55.30066861604389","55.30066861604389","55.30066861604389","26259","26259","26259"
"260","54.79309684351871","54.79309684351871","54.79309684351871","26360","26360","26360"
"261","55.33125626413446","55.33125626413446","55.33125626413446","26461","26461","26461"
"262","55.19321120412726","55.19321120412726","55.19321120412726","26562","26562","26562"
"263","54.75482759977642","54.75482759977642","54.75482759977642","26663","26663","26663"
"264","55.01964468705027","55.01964468705027","55.01964468705027","26764","26764","26764"
"265","54.76606328863846","54.76606328863846","54.76606328863846","26865","26865","26865"
"266","54.62081367091129","54.62081367091129","54.62081367091129","26966","26966","26966"
"267","54.80055537976717","54.80055537976717","54.80055537976717","27067","27067","27067"
"268","54.93582876105057","54.93582876105057","54.93582876105057","27168","27168","27168"
"269","54.672403837505136","54.672403837505136","54.672403837505136","27269","27269","27269"
"270","54.56451155010023","54.56451155010023","54.56451155010023","27370","27370","27370"
"271","55.1133216054816","55.1133216054816","55.1133216054816","27471","27471","27471"
"272","54.59434027420847","54.59434027420847","54.59434027420847","27572","27572","27572"
"273","54.64911952771639","54.64911952771639","54.64911952771639","27673","27673","27673"
"274","54.79980488827354","54.79980488827354","54.79980488827354","27774","27774","27774"
"275","54.337248952765215","54.337248952765215","54.337248952765215","27875","27875","27875"
"276","54.775578147486634","54.775578147486634","54.775578147486634","27976","27976","27976"
"277","55.36237736752159","55.36237736752159","55.36237736752159","28077","28077","28077"
"278","54.990275734349304","54.990275734349304","54.990275734349304","28178","28178","28178"
"279","54.31021017777292","54.31021017777292","54.31021017777292","28279","28279","28279"
"280","54.31317981920744","54.31317981920744","54.31317981920744","28380","28380","28380"
"281","54.78871696873715","54.78871696873715","54.78871696873715","28481","28481","28481"
"282","55.18259951942846","55.18259951942846","55.18259951942846","28582","28582","28582"
"283","54.4904795194927","54.4904795194927","54.4904795194927","28683","28683","28683"
"284","54.677343669690586","54.677343669690586","54.677343669690586","28784","28784","28784"
"285","54.365750764545645","54.365750764545645","54.365750764545645","28885","28885","28885"
"286","54.93798587196752","54.93798587196752","54.93798587196752","28986","28986","28986"
"287","54.0893036691766","54.0893036691766","54.0893036691766","29087","29087","29087"
"288","54.35115432739258","54.35115432739258","54.35115432739258","29188","29188","29188"
"289","55.234718121980364","55.234718121980364","55.234718121980364","29289","29289","29289"
"290","54.845584869384766","54.845584869384766","54.845584869384766","29390","29390","29390"
"291","54.68410451788651","54.68410451788651","54.68410451788651","29491","29491","29491"
"292","55.0812305651213","55.0812305651213","55.0812305651213","29592","29592","29592"
"293","54.416789406224304","54.416789406224304","54.416789406224304","29693","29693","29693"
"294","54.782149063913444","54.782149063913444","54.782149063913444","29794","29794","29794"
"295","55.19715861270302","55.19715861270302","55.19715861270302","29895","29895","29895"
"296","55.177872105648646","55.177872105648646","55.177872105648646","29996","29996","29996"
"297","54.44997968171772","54.44997968171772","54.44997968171772","30097","30097","30097"
"298","55.313012775621914","55.313012775621914","55.313012775621914","30198","30198","30198"
"299","54.15836535002056","54.15836535002056","54.15836535002056","30299","30299","30299"
"300","54.14417226690995","54.14417226690995","54.14417226690995","30400","30400","30400"
"301","55.116886138916016","55.116886138916016","55.116886138916016","30501","30501","30501"
"302","55.22765009026779","55.22765009026779","55.22765009026779","30602","30602","30602"
"303","53.861106069464434","53.861106069464434","53.861106069464434","30703","30703","30703"
"304","54.52255951730829","54.52255951730829","54.52255951730829","30804","30804","30804"
"305","55.120412726151315","55.120412726151315","55.120412726151315","30905","30905","30905"
"306","54.86282669870477","54.86282669870477","54.86282669870477","31006","31006","31006"
"307","54.68654251098633","54.68654251098633","54.68654251098633","31107","31107","31107"
"308","54.302154541015625","54.302154541015625","54.302154541015625","31208","31208","31208"
"309","54.04380477102179","54.04380477102179","54.04380477102179","31309","31309","31309"
"310","54.03389217979029","54.03389217979029","54.03389217979029","31410","31410","31410"
"311","54.59509217111688","54.59509217111688","54.59509217111688","31511","31511","31511"
"312","54.525797392192636","54.525797392192636","54.525797392192636","31612","31612","31612"
"313","54.330691488165606","54.330691488165606","54.330691488165606","31713","31713","31713"
"314","54.09524094431024","54.09524094431024","54.09524094431024","31814","31814","31814"
"315","53.999903427927116","53.999903427927116","53.999903427927116","31915","31915","31915"
"316","54.668576089959394","54.668576089959394","54.668576089959394","32016","32016","32016"
"317","54.43522182263826","54.43522182263826","54.43522182263826","32117","32117","32117"
"318","54.054396980687194","54.054396980687194","54.054396980687194","32218","32218","32218"
"319","54.246415188438014","54.246415188438014","54.246415188438014","32319","32319","32319"
"320","54.36675463224712","54.36675463224712","54.36675463224712","32420","32420","32420"
"321","54.37211709273489","54.37211709273489","54.37211709273489","32521","32521","32521"
"322","54.613801655016445","54.613801655016445","54.613801655016445","32622","32622","32622"
"323","54.22297628302323","54.22297628302323","54.22297628302323","32723","32723","32723"
"324","55.11706603200812","55.11706603200812","55.11706603200812","32824","32824","32824"
"325","54.95312740928248","54.95312740928248","54.95312740928248","32925","32925","32925"
"326","53.63525209928814","53.63525209928814","53.63525209928814","33026","33026","33026"
"327","53.61373560052169","53.61373560052169","53.61373560052169","33127","33127","33127"
"328","53.720129314221836","53.720129314221836","53.720129314221836","33228","33228","33228"
"329","54.426660437332956","54.426660437332956","54.426660437332956","33329","33329","33329"
"330","54.20644920750668","54.20644920750668","54.20644920750668","33430","33430","33430"
"331","54.02817314549496","54.02817314549496","54.02817314549496","33531","33531","33531"
"332","53.457109350907174","53.457109350907174","53.457109350907174","33632","33632","33632"
"333","53.81944114283512","53.81944114283512","53.81944114283512","33733","33733","33733"
"334","53.861627076801504","53.861627076801504","53.861627076801504","33834","33834","33834"
"335","53.769277472245065","53.769277472245065","53.769277472245065","33935","33935","33935"
"336","53.8126778853567","53.8126778853567","53.8126778853567","34036","34036","34036"
"337","53.47812873438785","53.47812873438785","53.47812873438785","34137","34137","34137"
"338","54.313900796990644","54.313900796990644","54.313900796990644","34238","34238","34238"
"339","53.91296989039371","53.91296989039371","53.91296989039371","34339","34339","34339"
"340","54.37507529007761","54.37507529007761","54.37507529007761","34440","34440","34440"
"341","53.590835972836146","53.590835972836146","53.590835972836146","34541","34541","34541"
"342","54.0796735663163","54.0796735663163","54.0796735663163","34642","34642","34642"
"343","53.74519087138929","53.74519087138929","53.74519087138929","34743","34743","34743"
"344","53.317455090974505","53.317455090974505","53.317455090974505","34844","34844","34844"
"345","53.51653370104338","53.51653370104338","53.51653370104338","34945","34945","34945"
"346","53.734717519659746","53.734717519659746","53.734717519659746","35046","35046","35046"
"347","53.53228940461811","53.53228940461811","53.53228940461811","35147","35147","35147"
"348","53.39535863775956","53.39535863775956","53.39535863775956","35248","35248","35248"
"349","53.53670802869295","53.53670802869295","53.53670802869295","35349","35349","35349"
"350","53.42251185366982","53.42251185366982","53.42251185366982","35450","35450","35450"
"351","53.81271583155582","53.81271583155582","53.81271583155582","35551","35551","35551"
"352","53.561798095703125","53.561798095703125","53.561798095703125","35652","35652","35652"
"353","53.15371483250668","53.15371483250668","53.15371483250668","35753","35753","35753"
"354","53.14863305342825","53.14863305342825","53.14863305342825","35854","35854","35854"
"355","53.56636288291529","53.56636288291529","53.56636288291529","35955","35955","35955"
"356","53.42738141511616","53.42738141511616","53.42738141511616","36056","36056","36056"
"357","53.389261747661386","53.389261747661386","53.389261747661386","36157","36157","36157"
"358","53.18502406070107","53.18502406070107","53.18502406070107","36258","36258","36258"
"359","53.350655003597865","53.350655003597865","53.350655003597865","36359","36359","36359"
"360","53.52525951987818","53.52525951987818","53.52525951987818","36460","36460","36460"
"361","54.02318151373612","54.02318151373612","54.02318151373612","36561","36561","36561"
"362","53.575116207725124","53.575116207725124","53.575116207725124","36662","36662","36662"
"363","53.5069445559853","53.5069445559853","53.5069445559853","36763","36763","36763"
"364","53.19516372680664","53.19516372680664","53.19516372680664","36864","36864","36864"
"365","53.289127149079974","53.289127149079974","53.289127149079974","36965","36965","36965"
"366","53.575481615568464","53.575481615568464","53.575481615568464","37066","37066","37066"
"367","53.274266694721426","53.274266694721426","53.274266694721426","37167","37167","37167"
"368","53.77875157406456","53.77875157406456","53.77875157406456","37268","37268","37268"
"369","53.53977082905016","53.53977082905016","53.53977082905016","37369","37369","37369"
