"epoch","olive-shadow-2 - train_loss","olive-shadow-2 - train_loss__MIN","olive-shadow-2 - train_loss__MAX","olive-shadow-2 - _step","olive-shadow-2 - _step__MIN","olive-shadow-2 - _step__MAX"
"0","116.81698791503906","116.81698791503906","116.81698791503906","100","100","100"
"1","113.27222442626953","113.27222442626953","113.27222442626953","201","201","201"
"2","112.68540473937988","112.68540473937988","112.68540473937988","302","302","302"
"3","111.74673824310302","111.74673824310302","111.74673824310302","403","403","403"
"4","110.0356770324707","110.0356770324707","110.0356770324707","504","504","504"
"5","107.79673305511474","107.79673305511474","107.79673305511474","605","605","605"
"6","105.09753120422363","105.09753120422363","105.09753120422363","706","706","706"
"7","102.66913051605225","102.66913051605225","102.66913051605225","807","807","807"
"8","99.73912330627441","99.73912330627441","99.73912330627441","908","908","908"
"9","96.65379390716552","96.65379390716552","96.65379390716552","1009","1009","1009"
"10","94.37933959960938","94.37933959960938","94.37933959960938","1110","1110","1110"
"11","92.52015747070313","92.52015747070313","92.52015747070313","1211","1211","1211"
"12","91.15527008056641","91.15527008056641","91.15527008056641","1312","1312","1312"
"13","89.9898942565918","89.9898942565918","89.9898942565918","1413","1413","1413"
"14","89.13131294250488","89.13131294250488","89.13131294250488","1514","1514","1514"
"15","88.38172462463379","88.38172462463379","88.38172462463379","1615","1615","1615"
"16","87.49323455810547","87.49323455810547","87.49323455810547","1716","1716","1716"
"17","86.8484497833252","86.8484497833252","86.8484497833252","1817","1817","1817"
"18","86.00826877593994","86.00826877593994","86.00826877593994","1918","1918","1918"
"19","85.240869140625","85.240869140625","85.240869140625","2019","2019","2019"
"20","84.19633464813232","84.19633464813232","84.19633464813232","2120","2120","2120"
"21","83.66884323120117","83.66884323120117","83.66884323120117","2221","2221","2221"
"22","83.06525161743164","83.06525161743164","83.06525161743164","2322","2322","2322"
"23","82.58927978515625","82.58927978515625","82.58927978515625","2423","2423","2423"
"24","82.24381130218507","82.24381130218507","82.24381130218507","2524","2524","2524"
"25","81.20048923492432","81.20048923492432","81.20048923492432","2625","2625","2625"
"26","80.82295993804932","80.82295993804932","80.82295993804932","2726","2726","2726"
"27","80.12833553314209","80.12833553314209","80.12833553314209","2827","2827","2827"
"28","79.21056205749511","79.21056205749511","79.21056205749511","2928","2928","2928"
"29","78.37895515441895","78.37895515441895","78.37895515441895","3029","3029","3029"
"30","78.33676876068115","78.33676876068115","78.33676876068115","3130","3130","3130"
"31","77.68141967773437","77.68141967773437","77.68141967773437","3231","3231","3231"
"32","76.95245246887207","76.95245246887207","76.95245246887207","3332","3332","3332"
"33","76.44195919036865","76.44195919036865","76.44195919036865","3433","3433","3433"
"34","75.92177558898926","75.92177558898926","75.92177558898926","3534","3534","3534"
"35","75.46714187622071","75.46714187622071","75.46714187622071","3635","3635","3635"
"36","75.23154266357422","75.23154266357422","75.23154266357422","3736","3736","3736"
"37","75.01070064544678","75.01070064544678","75.01070064544678","3837","3837","3837"
"38","74.40744266510009","74.40744266510009","74.40744266510009","3938","3938","3938"
"39","74.2012308883667","74.2012308883667","74.2012308883667","4039","4039","4039"
"40","73.9482124710083","73.9482124710083","73.9482124710083","4140","4140","4140"
"41","73.36235694885254","73.36235694885254","73.36235694885254","4241","4241","4241"
"42","73.55317050933837","73.55317050933837","73.55317050933837","4342","4342","4342"
"43","72.5596036529541","72.5596036529541","72.5596036529541","4443","4443","4443"
"44","72.3080644607544","72.3080644607544","72.3080644607544","4544","4544","4544"
"45","71.97370307922364","71.97370307922364","71.97370307922364","4645","4645","4645"
"46","71.48481174468994","71.48481174468994","71.48481174468994","4746","4746","4746"
"47","71.2150868988037","71.2150868988037","71.2150868988037","4847","4847","4847"
"48","70.6945496749878","70.6945496749878","70.6945496749878","4948","4948","4948"
"49","70.33390102386474","70.33390102386474","70.33390102386474","5049","5049","5049"
"50","70.02384323120117","70.02384323120117","70.02384323120117","5150","5150","5150"
"51","69.48956890106201","69.48956890106201","69.48956890106201","5251","5251","5251"
"52","68.8007345199585","68.8007345199585","68.8007345199585","5352","5352","5352"
"53","68.48776718139648","68.48776718139648","68.48776718139648","5453","5453","5453"
"54","68.18833438873291","68.18833438873291","68.18833438873291","5554","5554","5554"
"55","67.90940975189208","67.90940975189208","67.90940975189208","5655","5655","5655"
"56","67.42891868591309","67.42891868591309","67.42891868591309","5756","5756","5756"
"57","67.38631217956544","67.38631217956544","67.38631217956544","5857","5857","5857"
"58","67.25521240234374","67.25521240234374","67.25521240234374","5958","5958","5958"
"59","66.8361780166626","66.8361780166626","66.8361780166626","6059","6059","6059"
"60","66.77330444335938","66.77330444335938","66.77330444335938","6160","6160","6160"
"61","66.71713905334472","66.71713905334472","66.71713905334472","6261","6261","6261"
"62","66.4490311050415","66.4490311050415","66.4490311050415","6362","6362","6362"
"63","66.01660812377929","66.01660812377929","66.01660812377929","6463","6463","6463"
"64","65.8638868713379","65.8638868713379","65.8638868713379","6564","6564","6564"
"65","65.73059741973877","65.73059741973877","65.73059741973877","6665","6665","6665"
"66","65.86309200286865","65.86309200286865","65.86309200286865","6766","6766","6766"
"67","65.3927630996704","65.3927630996704","65.3927630996704","6867","6867","6867"
"68","65.59639656066895","65.59639656066895","65.59639656066895","6968","6968","6968"
"69","64.99904075622558","64.99904075622558","64.99904075622558","7069","7069","7069"
"70","64.96131092071533","64.96131092071533","64.96131092071533","7170","7170","7170"
"71","65.2495751953125","65.2495751953125","65.2495751953125","7271","7271","7271"
"72","64.7472386932373","64.7472386932373","64.7472386932373","7372","7372","7372"
