"epoch","olive-shadow-2 - r^2","olive-shadow-2 - r^2__MIN","olive-shadow-2 - r^2__MAX","olive-shadow-2 - _step","olive-shadow-2 - _step__MIN","olive-shadow-2 - _step__MAX"
"78","0.45596325397491455","0.45596325397491455","0.45596325397491455","7978","7978","7978"
"79","0.4467952251434326","0.4467952251434326","0.4467952251434326","8079","8079","8079"
"80","0.44027823209762573","0.44027823209762573","0.44027823209762573","8180","8180","8180"
"81","0.4464681148529053","0.4464681148529053","0.4464681148529053","8281","8281","8281"
"82","0.4570283889770508","0.4570283889770508","0.4570283889770508","8382","8382","8382"
"83","0.46094924211502075","0.46094924211502075","0.46094924211502075","8483","8483","8483"
"84","0.4513090252876282","0.4513090252876282","0.4513090252876282","8584","8584","8584"
"85","0.45613592863082886","0.45613592863082886","0.45613592863082886","8685","8685","8685"
"86","0.448760449886322","0.448760449886322","0.448760449886322","8786","8786","8786"
"87","0.4595898389816284","0.4595898389816284","0.4595898389816284","8887","8887","8887"
"88","0.46429282426834106","0.46429282426834106","0.46429282426834106","8988","8988","8988"
"89","0.45860904455184937","0.45860904455184937","0.45860904455184937","9089","9089","9089"
"90","0.46033644676208496","0.46033644676208496","0.46033644676208496","9190","9190","9190"
"91","0.46201092004776","0.46201092004776","0.46201092004776","9291","9291","9291"
"92","0.4632920026779175","0.4632920026779175","0.4632920026779175","9392","9392","9392"
"93","0.462006151676178","0.462006151676178","0.462006151676178","9493","9493","9493"
"94","0.4629395008087158","0.4629395008087158","0.4629395008087158","9594","9594","9594"
"95","0.46187514066696167","0.46187514066696167","0.46187514066696167","9695","9695","9695"
"96","0.4701418876647949","0.4701418876647949","0.4701418876647949","9796","9796","9796"
"97","0.4627915620803833","0.4627915620803833","0.4627915620803833","9897","9897","9897"
"98","0.47223228216171265","0.47223228216171265","0.47223228216171265","9998","9998","9998"
"99","0.467390775680542","0.467390775680542","0.467390775680542","10099","10099","10099"
"100","0.4596463441848755","0.4596463441848755","0.4596463441848755","10200","10200","10200"
"101","0.47031909227371216","0.47031909227371216","0.47031909227371216","10301","10301","10301"
"102","0.4627454876899719","0.4627454876899719","0.4627454876899719","10402","10402","10402"
"103","0.4679983854293823","0.4679983854293823","0.4679983854293823","10503","10503","10503"
"104","0.469094455242157","0.469094455242157","0.469094455242157","10604","10604","10604"
"105","0.47051042318344116","0.47051042318344116","0.47051042318344116","10705","10705","10705"
"106","0.46986210346221924","0.46986210346221924","0.46986210346221924","10806","10806","10806"
"107","0.4763128161430359","0.4763128161430359","0.4763128161430359","10907","10907","10907"
"108","0.47204989194869995","0.47204989194869995","0.47204989194869995","11008","11008","11008"
"109","0.4725884199142456","0.4725884199142456","0.4725884199142456","11109","11109","11109"
"110","0.47863930463790894","0.47863930463790894","0.47863930463790894","11210","11210","11210"
"111","0.47990554571151733","0.47990554571151733","0.47990554571151733","11311","11311","11311"
"112","0.47146207094192505","0.47146207094192505","0.47146207094192505","11412","11412","11412"
"113","0.4814288020133972","0.4814288020133972","0.4814288020133972","11513","11513","11513"
"114","0.48554229736328125","0.48554229736328125","0.48554229736328125","11614","11614","11614"
"115","0.46463048458099365","0.46463048458099365","0.46463048458099365","11715","11715","11715"
"116","0.47997742891311646","0.47997742891311646","0.47997742891311646","11816","11816","11816"
"117","0.46576064825057983","0.46576064825057983","0.46576064825057983","11917","11917","11917"
"118","0.47460705041885376","0.47460705041885376","0.47460705041885376","12018","12018","12018"
"119","0.48135215044021606","0.48135215044021606","0.48135215044021606","12119","12119","12119"
"120","0.4803585410118103","0.4803585410118103","0.4803585410118103","12220","12220","12220"
"121","0.48920416831970215","0.48920416831970215","0.48920416831970215","12321","12321","12321"
"122","0.48231345415115356","0.48231345415115356","0.48231345415115356","12422","12422","12422"
"123","0.4862692356109619","0.4862692356109619","0.4862692356109619","12523","12523","12523"
"124","0.48977410793304443","0.48977410793304443","0.48977410793304443","12624","12624","12624"
"125","0.4906538128852844","0.4906538128852844","0.4906538128852844","12725","12725","12725"
"126","0.4879472255706787","0.4879472255706787","0.4879472255706787","12826","12826","12826"
"127","0.48204195499420166","0.48204195499420166","0.48204195499420166","12927","12927","12927"
"128","0.4928988814353943","0.4928988814353943","0.4928988814353943","13028","13028","13028"
"129","0.48513925075531006","0.48513925075531006","0.48513925075531006","13129","13129","13129"
"130","0.4867671728134155","0.4867671728134155","0.4867671728134155","13230","13230","13230"
"131","0.46466147899627686","0.46466147899627686","0.46466147899627686","13331","13331","13331"
"132","0.48430031538009644","0.48430031538009644","0.48430031538009644","13432","13432","13432"
"133","0.48085838556289673","0.48085838556289673","0.48085838556289673","13533","13533","13533"
"134","0.48570775985717773","0.48570775985717773","0.48570775985717773","13634","13634","13634"
"135","0.48953139781951904","0.48953139781951904","0.48953139781951904","13735","13735","13735"
"136","0.4881541132926941","0.4881541132926941","0.4881541132926941","13836","13836","13836"
"137","0.4571385979652405","0.4571385979652405","0.4571385979652405","13937","13937","13937"
"138","0.48165732622146606","0.48165732622146606","0.48165732622146606","14038","14038","14038"
"139","0.46267205476760864","0.46267205476760864","0.46267205476760864","14139","14139","14139"
"140","0.46396827697753906","0.46396827697753906","0.46396827697753906","14240","14240","14240"
"141","0.4801122546195984","0.4801122546195984","0.4801122546195984","14341","14341","14341"
"142","0.48203200101852417","0.48203200101852417","0.48203200101852417","14442","14442","14442"
"143","0.44109565019607544","0.44109565019607544","0.44109565019607544","14543","14543","14543"
"144","0.47778916358947754","0.47778916358947754","0.47778916358947754","14644","14644","14644"
"145","0.46268558502197266","0.46268558502197266","0.46268558502197266","14745","14745","14745"
"146","0.49294811487197876","0.49294811487197876","0.49294811487197876","14846","14846","14846"
"147","0.47788870334625244","0.47788870334625244","0.47788870334625244","14947","14947","14947"
"148","0.4749862551689148","0.4749862551689148","0.4749862551689148","15048","15048","15048"
"149","0.4758579134941101","0.4758579134941101","0.4758579134941101","15149","15149","15149"
"150","0.49686098098754883","0.49686098098754883","0.49686098098754883","15250","15250","15250"
"151","0.48323190212249756","0.48323190212249756","0.48323190212249756","15351","15351","15351"
"152","0.486749529838562","0.486749529838562","0.486749529838562","15452","15452","15452"
"153","0.5055757761001587","0.5055757761001587","0.5055757761001587","15553","15553","15553"
"154","0.48370110988616943","0.48370110988616943","0.48370110988616943","15654","15654","15654"
"155","0.4877837300300598","0.4877837300300598","0.4877837300300598","15755","15755","15755"
"156","0.507325291633606","0.507325291633606","0.507325291633606","15856","15856","15856"
"157","0.49212586879730225","0.49212586879730225","0.49212586879730225","15957","15957","15957"
"158","0.4925770163536072","0.4925770163536072","0.4925770163536072","16058","16058","16058"
"159","0.5028609037399292","0.5028609037399292","0.5028609037399292","16159","16159","16159"
"160","0.5000731945037842","0.5000731945037842","0.5000731945037842","16260","16260","16260"
"161","0.49505525827407837","0.49505525827407837","0.49505525827407837","16361","16361","16361"
"162","0.49794459342956543","0.49794459342956543","0.49794459342956543","16462","16462","16462"
"163","0.5024844408035278","0.5024844408035278","0.5024844408035278","16563","16563","16563"
"164","0.5027444362640381","0.5027444362640381","0.5027444362640381","16664","16664","16664"
"165","0.5056196451187134","0.5056196451187134","0.5056196451187134","16765","16765","16765"
"166","0.505319356918335","0.505319356918335","0.505319356918335","16866","16866","16866"
"167","0.5010924339294434","0.5010924339294434","0.5010924339294434","16967","16967","16967"
"168","0.5061728954315186","0.5061728954315186","0.5061728954315186","17068","17068","17068"
"169","0.49365943670272827","0.49365943670272827","0.49365943670272827","17169","17169","17169"
"170","0.5094525814056396","0.5094525814056396","0.5094525814056396","17270","17270","17270"
"171","0.5089434385299683","0.5089434385299683","0.5089434385299683","17371","17371","17371"
"172","0.5057902932167053","0.5057902932167053","0.5057902932167053","17472","17472","17472"
"173","0.5024197101593018","0.5024197101593018","0.5024197101593018","17573","17573","17573"
"174","0.4877636432647705","0.4877636432647705","0.4877636432647705","17674","17674","17674"
"175","0.5144416689872742","0.5144416689872742","0.5144416689872742","17775","17775","17775"
"176","0.507238507270813","0.507238507270813","0.507238507270813","17876","17876","17876"
"177","0.508028507232666","0.508028507232666","0.508028507232666","17977","17977","17977"
"178","0.5143749713897705","0.5143749713897705","0.5143749713897705","18078","18078","18078"
"179","0.511175811290741","0.511175811290741","0.511175811290741","18179","18179","18179"
"180","0.5119807720184326","0.5119807720184326","0.5119807720184326","18280","18280","18280"
"181","0.511669933795929","0.511669933795929","0.511669933795929","18381","18381","18381"
"182","0.5165679454803467","0.5165679454803467","0.5165679454803467","18482","18482","18482"
"183","0.5143901109695435","0.5143901109695435","0.5143901109695435","18583","18583","18583"
"184","0.5140368938446045","0.5140368938446045","0.5140368938446045","18684","18684","18684"
"185","0.5162938237190247","0.5162938237190247","0.5162938237190247","18785","18785","18785"
"186","0.5087930560112","0.5087930560112","0.5087930560112","18886","18886","18886"
"187","0.5132624506950378","0.5132624506950378","0.5132624506950378","18987","18987","18987"
"188","0.5037437081336975","0.5037437081336975","0.5037437081336975","19088","19088","19088"
"189","0.5097339749336243","0.5097339749336243","0.5097339749336243","19189","19189","19189"
"190","0.5120112895965576","0.5120112895965576","0.5120112895965576","19290","19290","19290"
"191","0.510116457939148","0.510116457939148","0.510116457939148","19391","19391","19391"
"192","0.5228567123413086","0.5228567123413086","0.5228567123413086","19492","19492","19492"
"193","0.5195000171661377","0.5195000171661377","0.5195000171661377","19593","19593","19593"
"194","0.5209956765174866","0.5209956765174866","0.5209956765174866","19694","19694","19694"
"195","0.5188058614730835","0.5188058614730835","0.5188058614730835","19795","19795","19795"
"196","0.51762855052948","0.51762855052948","0.51762855052948","19896","19896","19896"
"197","0.518330991268158","0.518330991268158","0.518330991268158","19997","19997","19997"
"198","0.5114536285400391","0.5114536285400391","0.5114536285400391","20098","20098","20098"
"199","0.5215282440185547","0.5215282440185547","0.5215282440185547","20199","20199","20199"
"200","0.5223392248153687","0.5223392248153687","0.5223392248153687","20300","20300","20300"
"201","0.516863226890564","0.516863226890564","0.516863226890564","20401","20401","20401"
"202","0.5208921432495117","0.5208921432495117","0.5208921432495117","20502","20502","20502"
"203","0.5240049958229065","0.5240049958229065","0.5240049958229065","20603","20603","20603"
"204","0.5208534002304077","0.5208534002304077","0.5208534002304077","20704","20704","20704"
"205","0.5206719040870667","0.5206719040870667","0.5206719040870667","20805","20805","20805"
"206","0.5254726409912109","0.5254726409912109","0.5254726409912109","20906","20906","20906"
"207","0.519307017326355","0.519307017326355","0.519307017326355","21007","21007","21007"
"208","0.5293055772781372","0.5293055772781372","0.5293055772781372","21108","21108","21108"
"209","0.5236432552337646","0.5236432552337646","0.5236432552337646","21209","21209","21209"
"210","0.5248949527740479","0.5248949527740479","0.5248949527740479","21310","21310","21310"
"211","0.5231935977935791","0.5231935977935791","0.5231935977935791","21411","21411","21411"
"212","0.5253924131393433","0.5253924131393433","0.5253924131393433","21512","21512","21512"
"213","0.5275300145149231","0.5275300145149231","0.5275300145149231","21613","21613","21613"
"214","0.5271326899528503","0.5271326899528503","0.5271326899528503","21714","21714","21714"
"215","0.525831937789917","0.525831937789917","0.525831937789917","21815","21815","21815"
"216","0.5214276909828186","0.5214276909828186","0.5214276909828186","21916","21916","21916"
"217","0.5227714776992798","0.5227714776992798","0.5227714776992798","22017","22017","22017"
"218","0.5169401168823242","0.5169401168823242","0.5169401168823242","22118","22118","22118"
"219","0.5224219560623169","0.5224219560623169","0.5224219560623169","22219","22219","22219"
"220","0.5284426212310791","0.5284426212310791","0.5284426212310791","22320","22320","22320"
"221","0.5269154906272888","0.5269154906272888","0.5269154906272888","22421","22421","22421"
"222","0.5250980854034424","0.5250980854034424","0.5250980854034424","22522","22522","22522"
"223","0.5302022099494934","0.5302022099494934","0.5302022099494934","22623","22623","22623"
"224","0.5230646133422852","0.5230646133422852","0.5230646133422852","22724","22724","22724"
"225","0.5264629125595093","0.5264629125595093","0.5264629125595093","22825","22825","22825"
"226","0.5303325057029724","0.5303325057029724","0.5303325057029724","22926","22926","22926"
"227","0.5215941667556763","0.5215941667556763","0.5215941667556763","23027","23027","23027"
"228","0.5261070728302002","0.5261070728302002","0.5261070728302002","23128","23128","23128"
"229","0.5298217535018921","0.5298217535018921","0.5298217535018921","23229","23229","23229"
"230","0.5296845436096191","0.5296845436096191","0.5296845436096191","23330","23330","23330"
"231","0.5327447056770325","0.5327447056770325","0.5327447056770325","23431","23431","23431"
"232","0.5292258262634277","0.5292258262634277","0.5292258262634277","23532","23532","23532"
"233","0.5265365839004517","0.5265365839004517","0.5265365839004517","23633","23633","23633"
"234","0.532109260559082","0.532109260559082","0.532109260559082","23734","23734","23734"
"235","0.5302056074142456","0.5302056074142456","0.5302056074142456","23835","23835","23835"
"236","0.5333603620529175","0.5333603620529175","0.5333603620529175","23936","23936","23936"
"237","0.5259922742843628","0.5259922742843628","0.5259922742843628","24037","24037","24037"
"238","0.5302966833114624","0.5302966833114624","0.5302966833114624","24138","24138","24138"
"239","0.5291605591773987","0.5291605591773987","0.5291605591773987","24239","24239","24239"
"240","0.5193169713020325","0.5193169713020325","0.5193169713020325","24340","24340","24340"
"241","0.5267229080200195","0.5267229080200195","0.5267229080200195","24441","24441","24441"
"242","0.5257936716079712","0.5257936716079712","0.5257936716079712","24542","24542","24542"
"243","0.5300105810165405","0.5300105810165405","0.5300105810165405","24643","24643","24643"
"244","0.5253875851631165","0.5253875851631165","0.5253875851631165","24744","24744","24744"
"245","0.5287297964096069","0.5287297964096069","0.5287297964096069","24845","24845","24845"
"246","0.5304325819015503","0.5304325819015503","0.5304325819015503","24946","24946","24946"
"247","0.531571626663208","0.531571626663208","0.531571626663208","25047","25047","25047"
"248","0.5337430238723755","0.5337430238723755","0.5337430238723755","25148","25148","25148"
"249","0.527060866355896","0.527060866355896","0.527060866355896","25249","25249","25249"
"250","0.5277807712554932","0.5277807712554932","0.5277807712554932","25350","25350","25350"
"251","0.534065842628479","0.534065842628479","0.534065842628479","25451","25451","25451"
"252","0.5370453596115112","0.5370453596115112","0.5370453596115112","25552","25552","25552"
"253","0.5304951071739197","0.5304951071739197","0.5304951071739197","25653","25653","25653"
"254","0.5339292287826538","0.5339292287826538","0.5339292287826538","25754","25754","25754"
"255","0.5348249673843384","0.5348249673843384","0.5348249673843384","25855","25855","25855"
"256","0.5362199544906616","0.5362199544906616","0.5362199544906616","25956","25956","25956"
"257","0.532315731048584","0.532315731048584","0.532315731048584","26057","26057","26057"
"258","0.5378077030181885","0.5378077030181885","0.5378077030181885","26158","26158","26158"
"259","0.5336992144584656","0.5336992144584656","0.5336992144584656","26259","26259","26259"
"260","0.5380071401596069","0.5380071401596069","0.5380071401596069","26360","26360","26360"
"261","0.5334615707397461","0.5334615707397461","0.5334615707397461","26461","26461","26461"
"262","0.5346105098724365","0.5346105098724365","0.5346105098724365","26562","26562","26562"
"263","0.5383429527282715","0.5383429527282715","0.5383429527282715","26663","26663","26663"
"264","0.536095380783081","0.536095380783081","0.536095380783081","26764","26764","26764"
"265","0.5382324457168579","0.5382324457168579","0.5382324457168579","26865","26865","26865"
"266","0.5394473075866699","0.5394473075866699","0.5394473075866699","26966","26966","26966"
"267","0.537913978099823","0.537913978099823","0.537913978099823","27067","27067","27067"
"268","0.5368010997772217","0.5368010997772217","0.5368010997772217","27168","27168","27168"
"269","0.5390356779098511","0.5390356779098511","0.5390356779098511","27269","27269","27269"
"270","0.5399264097213745","0.5399264097213745","0.5399264097213745","27370","27370","27370"
"271","0.5352911949157715","0.5352911949157715","0.5352911949157715","27471","27471","27471"
"272","0.539680004119873","0.539680004119873","0.539680004119873","27572","27572","27572"
"273","0.5391893982887268","0.5391893982887268","0.5391893982887268","27673","27673","27673"
"274","0.5379243493080139","0.5379243493080139","0.5379243493080139","27774","27774","27774"
"275","0.541854202747345","0.541854202747345","0.541854202747345","27875","27875","27875"
"276","0.5381438732147217","0.5381438732147217","0.5381438732147217","27976","27976","27976"
"277","0.5331951975822449","0.5331951975822449","0.5331951975822449","28077","28077","28077"
"278","0.5363150238990784","0.5363150238990784","0.5363150238990784","28178","28178","28178"
"279","0.5420873165130615","0.5420873165130615","0.5420873165130615","28279","28279","28279"
"280","0.5420464277267456","0.5420464277267456","0.5420464277267456","28380","28380","28380"
"281","0.5380409955978394","0.5380409955978394","0.5380409955978394","28481","28481","28481"
"282","0.5346931219100952","0.5346931219100952","0.5346931219100952","28582","28582","28582"
"283","0.5405477285385132","0.5405477285385132","0.5405477285385132","28683","28683","28683"
"284","0.5389732122421265","0.5389732122421265","0.5389732122421265","28784","28784","28784"
"285","0.5416385531425476","0.5416385531425476","0.5416385531425476","28885","28885","28885"
"286","0.536759614944458","0.536759614944458","0.536759614944458","28986","28986","28986"
"287","0.5439225435256958","0.5439225435256958","0.5439225435256958","29087","29087","29087"
"288","0.5417017936706543","0.5417017936706543","0.5417017936706543","29188","29188","29188"
"289","0.5342329740524292","0.5342329740524292","0.5342329740524292","29289","29289","29289"
"290","0.5375347137451172","0.5375347137451172","0.5375347137451172","29390","29390","29390"
"291","0.5389063954353333","0.5389063954353333","0.5389063954353333","29491","29491","29491"
"292","0.5355303287506104","0.5355303287506104","0.5355303287506104","29592","29592","29592"
"293","0.5411583185195923","0.5411583185195923","0.5411583185195923","29693","29693","29693"
"294","0.5381078124046326","0.5381078124046326","0.5381078124046326","29794","29794","29794"
"295","0.5346066951751709","0.5346066951751709","0.5346066951751709","29895","29895","29895"
"296","0.5347142219543457","0.5347142219543457","0.5347142219543457","29996","29996","29996"
"297","0.5409207344055176","0.5409207344055176","0.5409207344055176","30097","30097","30097"
"298","0.5335835218429565","0.5335835218429565","0.5335835218429565","30198","30198","30198"
"299","0.5433617830276489","0.5433617830276489","0.5433617830276489","30299","30299","30299"
"300","0.5434863567352295","0.5434863567352295","0.5434863567352295","30400","30400","30400"
"301","0.5352602005004883","0.5352602005004883","0.5352602005004883","30501","30501","30501"
"302","0.5343055725097656","0.5343055725097656","0.5343055725097656","30602","30602","30602"
"303","0.5458639860153198","0.5458639860153198","0.5458639860153198","30703","30703","30703"
"304","0.5402671098709106","0.5402671098709106","0.5402671098709106","30804","30804","30804"
"305","0.5352474451065063","0.5352474451065063","0.5352474451065063","30905","30905","30905"
"306","0.5374301075935364","0.5374301075935364","0.5374301075935364","31006","31006","31006"
"307","0.5389033555984497","0.5389033555984497","0.5389033555984497","31107","31107","31107"
"308","0.5421438813209534","0.5421438813209534","0.5421438813209534","31208","31208","31208"
"309","0.5442997217178345","0.5442997217178345","0.5442997217178345","31309","31309","31309"
"310","0.5443880558013916","0.5443880558013916","0.5443880558013916","31410","31410","31410"
"311","0.5396507978439331","0.5396507978439331","0.5396507978439331","31511","31511","31511"
"312","0.5402284860610962","0.5402284860610962","0.5402284860610962","31612","31612","31612"
"313","0.5418869256973267","0.5418869256973267","0.5418869256973267","31713","31713","31713"
"314","0.5439215898513794","0.5439215898513794","0.5439215898513794","31814","31814","31814"
"315","0.5446997880935669","0.5446997880935669","0.5446997880935669","31915","31915","31915"
"316","0.5390456914901733","0.5390456914901733","0.5390456914901733","32016","32016","32016"
"317","0.5410037040710449","0.5410037040710449","0.5410037040710449","32117","32117","32117"
"318","0.5442215800285339","0.5442215800285339","0.5442215800285339","32218","32218","32218"
"319","0.5426081418991089","0.5426081418991089","0.5426081418991089","32319","32319","32319"
"320","0.5415963530540466","0.5415963530540466","0.5415963530540466","32420","32420","32420"
"321","0.5415403246879578","0.5415403246879578","0.5415403246879578","32521","32521","32521"
"322","0.5395050048828125","0.5395050048828125","0.5395050048828125","32622","32622","32622"
"323","0.5427965521812439","0.5427965521812439","0.5427965521812439","32723","32723","32723"
"324","0.5352455377578735","0.5352455377578735","0.5352455377578735","32824","32824","32824"
"325","0.5366341471672058","0.5366341471672058","0.5366341471672058","32925","32925","32925"
"326","0.5477327108383179","0.5477327108383179","0.5477327108383179","33026","33026","33026"
"327","0.5479632019996643","0.5479632019996643","0.5479632019996643","33127","33127","33127"
"328","0.5470154285430908","0.5470154285430908","0.5470154285430908","33228","33228","33228"
"329","0.5410785675048828","0.5410785675048828","0.5410785675048828","33329","33329","33329"
"330","0.5429306030273438","0.5429306030273438","0.5429306030273438","33430","33430","33430"
"331","0.5444241166114807","0.5444241166114807","0.5444241166114807","33531","33531","33531"
"332","0.5492417812347412","0.5492417812347412","0.5492417812347412","33632","33632","33632"
"333","0.5461995601654053","0.5461995601654053","0.5461995601654053","33733","33733","33733"
"334","0.5458417534828186","0.5458417534828186","0.5458417534828186","33834","33834","33834"
"335","0.546630859375","0.546630859375","0.546630859375","33935","33935","33935"
"336","0.5462321639060974","0.5462321639060974","0.5462321639060974","34036","34036","34036"
"337","0.5490759611129761","0.5490759611129761","0.5490759611129761","34137","34137","34137"
"338","0.542015790939331","0.542015790939331","0.542015790939331","34238","34238","34238"
"339","0.5454043745994568","0.5454043745994568","0.5454043745994568","34339","34339","34339"
"340","0.5415046215057373","0.5415046215057373","0.5415046215057373","34440","34440","34440"
"341","0.5481616258621216","0.5481616258621216","0.5481616258621216","34541","34541","34541"
"342","0.5440190434455872","0.5440190434455872","0.5440190434455872","34642","34642","34642"
"343","0.5468315482139587","0.5468315482139587","0.5468315482139587","34743","34743","34743"
"344","0.5504319667816162","0.5504319667816162","0.5504319667816162","34844","34844","34844"
